zip,income_household_median,,,,,,,,,,,,,
02215,42.34741,,,,,,,,,,,,,
02301,42.07791,,,,,,,,,,,,,
02302,42.08792,,,,,,,,,,,,,
02322,42.12666,,,,,,,,,,,,,
02324,41.97272,,,,,,,,,,,,,
02325,41.98875,,,,,,,,,,,,,
02330,41.87388,,,,,,,,,,,,,
02332,42.04651,,,,,,,,,,,,,
02333,42.03521,,,,,,,,,,,,,
02338,41.99138,,,,,,,,,,,,,
02339,42.12241,,,,,,,,,,,,,
02341,42.05604,,,,,,,,,,,,,
02343,42.14733,,,,,,,,,,,,,
02346,41.88034,,,,,,,,,,,,,
02347,41.83101,,,,,,,,,,,,,
02350,42.02043,,,,,,,,,,,,,
02351,42.11805,,,,,,,,,,,,,
02356,42.05519,,,,,,,,,,,,,
02357,42.06224,,,,,,,,,,,,,
02359,42.06547,,,,,,,,,,,,,
02360,41.87817,,,,,,,,,,,,,
02364,41.98616,,,,,,,,,,,,,
02366,41.84868,,,,,,,,,,,,,
02367,41.96345,,,,,,,,,,,,,
02368,42.17506,,,,,,,,,,,,,
02370,42.1295,,,,,,,,,,,,,
02375,42.01954,,,,,,,,,,,,,
02379,42.02139,,,,,,,,,,,,,
02382,42.08,,,,,,,,,,,,,
02420,42.45821,,,,,,,,,,,,,
02421,42.438,,,,,,,,,,,,,
02445,42.32581,,,,,,,,,,,,,
02446,42.3435,,,,,,,,,,,,,
02451,42.39859,,,,,,,,,,,,,
02452,42.39365,,,,,,,,,,,,,
02453,42.36918,,,,,,,,,,,,,
02457,42.29777,,,,,,,,,,,,,
02458,42.35294,,,,,,,,,,,,,
02459,42.31515,,,,,,,,,,,,,
02460,42.35206,,,,,,,,,,,,,
02461,42.31693,,,,,,,,,,,,,
02462,42.33102,,,,,,,,,,,,,
02464,42.31274,,,,,,,,,,,,,
02465,42.34969,,,,,,,,,,,,,
02466,42.34541,,,,,,,,,,,,,
02467,42.31725,,,,,,,,,,,,,
02468,42.32777,,,,,,,,,,,,,
02472,42.37,,,,,,,,,,,,,
02474,42.42053,,,,,,,,,,,,,
02476,42.41597,,,,,,,,,,,,,
02478,42.39602,,,,,,,,,,,,,
02481,42.31064,,,,,,,,,,,,,
02482,42.29455,,,,,,,,,,,,,
02492,42.27615,,,,,,,,,,,,,
02493,42.35893,,,,,,,,,,,,,
02494,42.29959,,,,,,,,,,,,,
02532,41.75111,,,,,,,,,,,,,
02534,41.66626,,,,,,,,,,,,,
02535,41.34896,,,,,,,,,,,,,
02536,41.59706,,,,,,,,,,,,,
02537,41.72882,,,,,,,,,,,,,
02538,41.77872,,,,,,,,,,,,,
02539,41.37994,,,,,,,,,,,,,
02540,41.57128,,,,,,,,,,,,,
02542,41.70194,,,,,,,,,,,,,
02543,41.48731,,,,,,,,,,,,,
02553,41.71297,,,,,,,,,,,,,
02554,41.28555,,,,,,,,,,,,,
02556,41.63903,,,,,,,,,,,,,
02557,41.44218,,,,,,,,,,,,,
02558,41.74453,,,,,,,,,,,,,
02559,41.69237,,,,,,,,,,,,,
02561,41.76782,,,,,,,,,,,,,
02562,41.78753,,,,,,,,,,,,,
02563,41.71995,,,,,,,,,,,,,
02564,41.26552,,,,,,,,,,,,,
02568,41.44341,,,,,,,,,,,,,
02571,41.76184,,,,,,,,,,,,,
02575,41.39651,,,,,,,,,,,,,
02576,41.77807,,,,,,,,,,,,,
02584,41.25753,,,,,,,,,,,,,
02601,41.66,,,,,,,,,,,,,
02630,41.69674,,,,,,,,,,,,,
02631,41.74673,,,,,,,,,,,,,
02632,41.66074,,,,,,,,,,,,,
02633,41.68949,,,,,,,,,,,,,
02635,41.62348,,,,,,,,,,,,,
02637,41.70493,,,,,,,,,,,,,
02638,41.73225,,,,,,,,,,,,,
02639,41.66639,,,,,,,,,,,,,
02641,41.75221,,,,,,,,,,,,,
02642,41.83976,,,,,,,,,,,,,
02643,41.75534,,,,,,,,,,,,,
02644,41.68361,,,,,,,,,,,,,
02645,41.70352,,,,,,,,,,,,,
02646,41.67103,,,,,,,,,,,,,
02647,41.63127,,,,,,,,,,,,,
02648,41.67237,,,,,,,,,,,,,
02649,41.61778,,,,,,,,,,,,,
02650,41.7036,,,,,,,,,,,,,
02652,42.0428,,,,,,,,,,,,,
02653,41.76901,,,,,,,,,,,,,
02655,41.62972,,,,,,,,,,,,,
02657,42.06139,,,,,,,,,,,,,
02659,41.68258,,,,,,,,,,,,,
02660,41.70828,,,,,,,,,,,,,
02663,41.90576,,,,,,,,,,,,,
02664,41.67486,,,,,,,,,,,,,
02666,41.98817,,,,,,,,,,,,,
02667,41.92937,,,,,,,,,,,,,
02668,41.70713,,,,,,,,,,,,,
02670,41.66,,,,,,,,,,,,,
02671,41.66938,,,,,,,,,,,,,
02672,41.6357,,,,,,,,,,,,,
02673,41.6557,,,,,,,,,,,,,
02675,41.70401,,,,,,,,,,,,,
02702,41.78452,,,,,,,,,,,,,
02703,41.93108,,,,,,,,,,,,,
02713,41.42818,,,,,,,,,,,,,
02715,41.81681,,,,,,,,,,,,,
02717,41.75405,,,,,,,,,,,,,
02718,41.86902,,,,,,,,,,,,,
02719,41.63945,,,,,,,,,,,,,
02720,41.73095,,,,,,,,,,,,,
02721,41.67451,,,,,,,,,,,,,
02723,41.69237,,,,,,,,,,,,,
02724,41.68372,,,,,,,,,,,,,
02725,41.71253,,,,,,,,,,,,,
02726,41.76073,,,,,,,,,,,,,
02738,41.7092,,,,,,,,,,,,,
02739,41.6687,,,,,,,,,,,,,
02740,41.63802,,,,,,,,,,,,,
02743,41.71323,,,,,,,,,,,,,
02744,41.60789,,,,,,,,,,,,,
02745,41.70284,,,,,,,,,,,,,
02746,41.66474,,,,,,,,,,,,,
02747,41.6577,,,,,,,,,,,,,
02748,41.56096,,,,,,,,,,,,,
02760,41.97004,,,,,,,,,,,,,
02762,42.01409,,,,,,,,,,,,,
02763,41.96666,,,,,,,,,,,,,
02764,41.8562,,,,,,,,,,,,,
02766,41.96402,,,,,,,,,,,,,
